Word,Conc.M,Conc.SD
惹事,2.923077,1.128648
杀气,1.7999999999999998,1.0
沙石,4.7692309999999996,0.429669
神秘,1.7692310000000004,0.908083
守则,2.961538,1.03849
受伤,3.692308,0.970329
双向,3.0,1.224745
死者,4.4399999999999995,0.768115
诵读,3.923077,1.016782
俗气,2.153846,0.7317
台词,4.153846,0.7317
摊牌,3.291667,1.041703
碳酸,3.916667,1.100066
烫伤,4.115385,0.863802
逃跑,3.807692,1.132051
退休,4.038462,0.958364
拖车,4.576923,0.643309
脱水,3.615385,0.982931
外务,2.5,0.963624
威风,1.961538,0.870897
卫冕,3.291667,1.122078
慰问,3.192308,0.980581
文士,3.608696,1.15755
先河,2.695652,1.32921
相反,3.038462,1.280024
相扑,4.16,1.143095
相同,3.25,1.188715
校际,2.571429,1.028175
谢谢,3.423077,1.270372
心底,2.208333,1.178767
信步,2.47619,1.123345
修理,3.384615,0.852147
选民,4.076923,0.934797
仪器,4.2692309999999996,0.827415
银河,3.384615,1.601922
荧幕,4.153846,1.155588
雍容,2.153846,0.92487
由此,2.545455,1.143398
鱼网,4.807692,0.401918
遇害,3.730769,1.002305
冤狱,3.12,1.332917
圆形,4.346154,1.093336
责罚,3.346154,1.129329
展览,3.923077,0.97665
找寻,3.32,1.144552
征服,2.615385,1.328967
正门,4.153846,0.92487
知觉,2.576923,1.064822
滞留,3.461538,0.989172
专家,3.653846,1.056118
宗派,3.307692,1.192283
罪恶,2.807692,1.132051
作答,3.32,1.180395
座落,3.653846,0.977438
安抚,2.538462,0.859338
薄冰,3.807692,1.020558
宝贝,2.8,1.118034
碑文,4.538462,0.581774
背影,4.307692,0.837579
兵法,3.192308,1.132051
剥夺,3.0,1.16619
不惜,1.9583329999999997,0.750604
餐饮,3.923077,0.89098
陈旧,3.230769,1.210213
撑腰,3.076923,1.128648
赐教,2.8,1.080123
打扮,3.692308,1.010712
呆滞,3.038462,1.248384
挡路,3.884615,0.951921
地契,4.692308,0.549125
雕琢,3.653846,0.977438
迭起,2.318182,0.994574
读书,4.038462,0.915675
杜绝,3.038462,1.341067
渡过,2.92,1.320353
断交,3.307692,1.086986
对称,3.846154,0.92487
鹅蛋,4.884615,0.325813
恩赐,2.653846,1.093336
发蜡,4.461538,0.859338
方式,2.36,1.075484
方位,3.115385,1.336471
芳香,2.961538,1.37057
分内,2.565217,0.895752
分神,2.615385,1.328967
分摊,3.461538,1.207668
更换,3.538462,1.139501
公布,3.538462,1.272188
功率,3.730769,1.401647
攻打,3.576923,1.064822
恭候,3.076923,1.293772
管理,2.807692,1.265519
光度,3.0,1.477098
后退,3.461538,1.139501
呼喊,4.038462,0.958364
黄河,4.846154,0.367946
伙伴,4.038462,0.915675
极刑,3.2,1.258306
减肥,3.269231,1.041449
见报,3.347826,1.112274
健忘,3.038462,1.37057
角色,3.307692,0.928191
绞刑,4.384615,0.852147
揭发,3.346154,1.16421
劫匪,4.461538,0.581774
结婚,4.346154,0.93562
金粉,4.0,1.224745
纠纷,3.0,1.131371
剧烈,2.461538,0.947872
开胃,2.884615,1.070586
空气,3.884615,1.306198
狼狗,4.846154,0.367946
累死,2.615385,1.168826
立功,3.230769,1.106623
林荫,3.961538,0.99923
领事,3.72,1.021437
露骨,2.730769,1.150919
露营,4.115385,0.652805
绿茶,4.538462,0.760567
麻木,2.04,0.888819
面对,2.884615,1.107318
名模,4.0,0.848528
母校,4.346154,0.891843
